ProximalDiametroPolia,mm,20 mm,
Proximal1Comprimento,mm,45 mm,
ProximalExpessura,mm,20 mm,
ProximalBarrigaExpessura,mm,15 mm,
ProximalOffsetBarriga,mm,( ProximalExpessura - ProximalBarrigaExpessura ) / 2,
ProximalLargura,mm,8 mm,
ProximalDiametroBuracoPolia,mm,3 mm,
ProximalPoliaBuracoAltura,mm,ProximalExpessura / 2 - 1 mm,
ProximalDiametroEncaixeMedio,mm,15 mm,
EixoDiametro,mm,4.2 mm,
EixoFillet,mm,0.2 mm,
FilletExternoPolia,mm,0.2 mm,
FilletExternoCorpo,mm,2 mm,
BuracoPrenderFio,mm,1.2 mm,
d38,mm,ProximalDiametroPolia,
d58,mm,EixoDiametro,
d70,mm,ProximalDiametroEncaixeMedio,
d71,mm,EixoDiametro,
d72,mm,Proximal1Comprimento - ProximalDiametroPolia / 2 - ProximalDiametroEncaixeMedio / 2,
d73,mm,ProximalBarrigaExpessura,
d74,mm,ProximalOffsetBarriga,
d75,mm,ProximalOffsetBarriga,
d46,mm,ProximalLargura,
d47,deg,0.0 deg,
d48,mm,ProximalDiametroBuracoPolia,
d49,mm,ProximalPoliaBuracoAltura,
d50,mm,100 mm,
d51,mm,ProximalLargura / 2,
d81,mm,BuracoPrenderFio,
d82,mm,ProximalDiametroPolia / 2 - BuracoPrenderFio / 2 - 0.5 mm,
d52,deg,360.0 deg,
d62,,1,
d63,mm,EixoFillet,
d76,,1,
d77,mm,FilletExternoPolia,
d78,,1,
d79,mm,FilletExternoCorpo,
d83,mm,-ProximalLargura,
d84,deg,0.0 deg,
MediaDiametroPolia,mm,ProximalDiametroPolia,
MediaDiametroEncaixeDistal,mm,ProximalDiametroEncaixeMedio,
Media1Comprimento,mm,35 mm,
MediaLargura,mm,20 mm,
MediaPoliaBuracoAltura,mm,ProximalPoliaBuracoAltura,
MediaPoliaBuracoDiametro,mm,3 mm,
DistalDiametroPolia,mm,15 mm,
Distal1Tamanho,mm,30 mm,
DistalPoliaBuracoAltura,mm,DistalDiametroPolia / 2 - 1 mm,
d123,mm,DistalDiametroPolia,
